Inspection_ID,Magistrate_ID,Date,Time,City,Latitude,Longitude,Commodity_Checked,Violation_Found,Fine_Amount,Fine_Status
INS-1000065,MAG-107,1/20/2026,15:20:00,LAHORE,31.549666,74.336178,Tomato,Yes,20000,Paid
INS-1000066,MAG-107,1/20/2026,15:55:00,LAHORE,31.492591,74.334687,Potato,No,0,N/A
INS-1000067,MAG-107,1/20/2026,16:31:00,LAHORE,31.568575,74.363086,Tomato,No,0,N/A
INS-1000068,MAG-107,1/20/2026,16:53:00,LAHORE,31.561941,74.407475,Banana,No,0,N/A
INS-1000069,MAG-107,1/20/2026,17:10:00,LAHORE,31.502577,74.372033,Tomato,No,0,N/A
INS-1000070,MAG-108,1/20/2026,10:48:00,LAHORE,31.568612,74.342484,Potato,No,0,N/A
INS-1000071,MAG-108,1/20/2026,11:03:00,LAHORE,31.480126,74.394657,Potato,No,0,N/A
INS-1000072,MAG-108,1/20/2026,11:23:00,LAHORE,31.523869,74.390161,Potato,No,0,N/A
INS-1000073,MAG-108,1/20/2026,12:07:00,LAHORE,31.532006,74.381635,Tomato,No,0,N/A
INS-1000074,MAG-108,1/20/2026,12:32:00,LAHORE,31.525507,74.338111,Potato,No,0,N/A
INS-1000075,MAG-108,1/20/2026,13:10:00,LAHORE,31.563098,74.317744,Banana,No,0,N/A
INS-1000076,MAG-108,1/20/2026,13:51:00,LAHORE,31.551208,74.366375,Onion,Yes,2000,Paid
INS-1000077,MAG-108,1/20/2026,14:14:00,LAHORE,31.555909,74.366412,Tomato,Yes,20000,Unpaid
INS-1000078,MAG-108,1/20/2026,14:43:00,LAHORE,31.568295,74.3792,Tomato,No,0,N/A
INS-1000079,MAG-108,1/20/2026,15:18:00,LAHORE,31.555327,74.319828,Potato,No,0,N/A
INS-1000080,MAG-109,1/20/2026,9:08:00,LAHORE,31.484336,74.339206,Tomato,No,0,N/A
INS-1000081,MAG-109,1/20/2026,9:50:00,LAHORE,31.492843,74.390407,Potato,Yes,20000,Paid
INS-1000082,MAG-109,1/20/2026,10:27:00,LAHORE,31.473734,74.346856,Potato,Yes,20000,Unpaid
INS-1000083,MAG-109,1/20/2026,11:11:00,LAHORE,31.502271,74.318208,Onion,No,0,N/A
INS-1000084,MAG-109,1/20/2026,11:44:00,LAHORE,31.492632,74.339891,Banana,No,0,N/A
INS-1000085,MAG-109,1/20/2026,12:16:00,LAHORE,31.534791,74.360276,Tomato,No,0,N/A
INS-1000086,MAG-109,1/20/2026,12:40:00,LAHORE,31.472535,74.346128,Potato,No,0,N/A
INS-1000087,MAG-109,1/20/2026,13:04:00,LAHORE,31.559953,74.393642,Onion,No,0,N/A
INS-1000088,MAG-109,1/20/2026,13:42:00,LAHORE,31.546748,74.334879,Onion,No,0,N/A
INS-1000089,MAG-110,1/20/2026,10:43:00,LAHORE,31.485867,74.311436,Tomato,No,0,N/A
INS-1000090,MAG-110,1/20/2026,11:25:00,LAHORE,31.510528,74.384257,Potato,No,0,N/A
INS-1000091,MAG-110,1/20/2026,12:07:00,LAHORE,31.526583,74.339794,Banana,No,0,N/A
INS-1000092,MAG-110,1/20/2026,12:36:00,LAHORE,31.530484,74.382133,Onion,No,0,N/A
INS-1000093,MAG-110,1/20/2026,13:10:00,LAHORE,31.5343,74.39266,Banana,No,0,N/A
INS-1000094,MAG-110,1/20/2026,13:43:00,LAHORE,31.557083,74.376026,Banana,No,0,N/A
INS-1000095,MAG-110,1/20/2026,14:02:00,LAHORE,31.56348,74.368552,Onion,No,0,N/A
INS-1000096,MAG-110,1/20/2026,14:36:00,LAHORE,31.540663,74.370136,Tomato,No,0,N/A
INS-1000097,MAG-110,1/20/2026,15:07:00,LAHORE,31.485113,74.319117,Tomato,No,0,N/A
INS-1000098,MAG-110,1/20/2026,15:49:00,LAHORE,31.490647,74.325654,Banana,No,0,N/A
INS-1000099,MAG-110,1/20/2026,16:24:00,LAHORE,31.489002,74.384562,Onion,Yes,20000,Paid
INS-1000100,MAG-111,1/20/2026,10:11:00,LAHORE,31.515239,74.32612,Onion,No,0,N/A
INS-1000101,MAG-111,1/20/2026,10:41:00,LAHORE,31.473479,74.338108,Tomato,No,0,N/A
INS-1000102,MAG-111,1/20/2026,11:06:00,LAHORE,31.495076,74.363374,Onion,No,0,N/A
INS-1000103,MAG-111,1/20/2026,11:29:00,LAHORE,31.512986,74.370942,Potato,No,0,N/A
INS-1000104,MAG-111,1/20/2026,12:01:00,LAHORE,31.557789,74.403583,Potato,No,0,N/A
INS-1000105,MAG-111,1/20/2026,12:20:00,LAHORE,31.564856,74.375702,Potato,Yes,5000,Paid
INS-1000106,MAG-111,1/20/2026,12:38:00,LAHORE,31.472696,74.390852,Tomato,No,0,N/A
INS-1000107,MAG-111,1/20/2026,13:09:00,LAHORE,31.545914,74.325053,Onion,No,0,N/A
INS-1000108,MAG-111,1/20/2026,13:33:00,LAHORE,31.526233,74.351524,Potato,No,0,N/A
INS-1000109,MAG-111,1/20/2026,14:14:00,LAHORE,31.555377,74.391341,Potato,No,0,N/A
INS-1000110,MAG-111,1/20/2026,14:40:00,LAHORE,31.555632,74.394829,Banana,No,0,N/A
INS-1000111,MAG-111,1/20/2026,15:09:00,LAHORE,31.510504,74.37868,Tomato,Yes,5000,Paid
INS-1000112,MAG-111,1/20/2026,15:32:00,LAHORE,31.540524,74.332943,Banana,Yes,20000,Paid
INS-1000113,MAG-111,1/20/2026,16:15:00,LAHORE,31.551933,74.406843,Onion,No,0,N/A
INS-1000114,MAG-111,1/20/2026,16:55:00,LAHORE,31.557989,74.343658,Banana,No,0,N/A
INS-1000115,MAG-112,1/20/2026,8:31:00,LAHORE,31.561707,74.338212,Potato,No,0,N/A
INS-1000116,MAG-112,1/20/2026,9:10:00,LAHORE,31.520281,74.356803,Tomato,No,0,N/A
INS-1000117,MAG-112,1/20/2026,9:54:00,LAHORE,31.482219,74.328755,Onion,No,0,N/A
INS-1000118,MAG-112,1/20/2026,10:28:00,LAHORE,31.522428,74.39776,Potato,No,0,N/A
INS-1000119,MAG-112,1/20/2026,10:49:00,LAHORE,31.562563,74.321049,Onion,No,0,N/A
INS-1000120,MAG-112,1/20/2026,11:17:00,LAHORE,31.563567,74.311057,Onion,No,0,N/A
INS-1000121,MAG-112,1/20/2026,11:48:00,LAHORE,31.484611,74.395011,Onion,No,0,N/A
INS-1000122,MAG-113,1/20/2026,10:35:00,LAHORE,31.49471,74.321968,Tomato,No,0,N/A
INS-1000123,MAG-113,1/20/2026,10:56:00,LAHORE,31.488298,74.372136,Tomato,Yes,10000,Paid
INS-1000124,MAG-113,1/20/2026,11:30:00,LAHORE,31.531126,74.391691,Onion,No,0,N/A
INS-1000125,MAG-113,1/20/2026,11:47:00,LAHORE,31.506978,74.389832,Potato,No,0,N/A
INS-1000126,MAG-113,1/20/2026,12:27:00,LAHORE,31.56385,74.349501,Banana,No,0,N/A
INS-1000127,MAG-113,1/20/2026,13:10:00,LAHORE,31.470998,74.34778,Tomato,Yes,2000,Paid
INS-1000128,MAG-113,1/20/2026,13:35:00,LAHORE,31.48007,74.317045,Banana,No,0,N/A
INS-1000129,MAG-113,1/20/2026,13:51:00,LAHORE,31.560368,74.345683,Banana,No,0,N/A
INS-1000130,MAG-113,1/20/2026,14:07:00,LAHORE,31.520715,74.405998,Onion,Yes,2000,Paid
INS-1000131,MAG-113,1/20/2026,14:29:00,LAHORE,31.533109,74.343341,Potato,No,0,N/A
INS-1000132,MAG-114,1/20/2026,8:46:00,LAHORE,31.541201,74.40728,Onion,No,0,N/A
INS-1000133,MAG-114,1/20/2026,9:16:00,LAHORE,31.53582,74.312458,Onion,No,0,N/A
INS-1000134,MAG-114,1/20/2026,10:00:00,LAHORE,31.526362,74.329207,Potato,No,0,N/A
INS-1000135,MAG-114,1/20/2026,10:31:00,LAHORE,31.508484,74.402336,Potato,No,0,N/A
INS-1000136,MAG-114,1/20/2026,11:07:00,LAHORE,31.496809,74.309272,Potato,No,0,N/A
INS-1000137,MAG-114,1/20/2026,11:36:00,LAHORE,31.52427,74.354204,Potato,No,0,N/A
INS-1000138,MAG-114,1/20/2026,12:17:00,LAHORE,31.560461,74.34728,Onion,No,0,N/A
INS-1000139,MAG-114,1/20/2026,12:58:00,LAHORE,31.511517,74.374967,Tomato,No,0,N/A
INS-1000140,MAG-114,1/20/2026,13:33:00,LAHORE,31.47888,74.359467,Potato,No,0,N/A
INS-1000141,MAG-115,1/20/2026,10:40:00,LAHORE,31.501561,74.376021,Banana,No,0,N/A
INS-1000142,MAG-115,1/20/2026,11:24:00,LAHORE,31.501561,74.376021,Onion,No,0,N/A
INS-1000143,MAG-115,1/20/2026,11:48:00,LAHORE,31.501561,74.376021,Potato,No,0,N/A
INS-1000144,MAG-115,1/20/2026,12:07:00,LAHORE,31.501561,74.376021,Potato,No,0,N/A
INS-1000145,MAG-115,1/20/2026,12:37:00,LAHORE,31.501561,74.376021,Banana,No,0,N/A
INS-1000146,MAG-115,1/20/2026,13:12:00,LAHORE,31.501561,74.376021,Onion,Yes,5000,Paid
INS-1000147,MAG-115,1/20/2026,13:43:00,LAHORE,31.501561,74.376021,Potato,No,0,N/A
INS-1000148,MAG-115,1/20/2026,14:07:00,LAHORE,31.501561,74.376021,Onion,No,0,N/A
INS-1000149,MAG-115,1/20/2026,14:51:00,LAHORE,31.501561,74.376021,Tomato,No,0,N/A
INS-1000150,MAG-115,1/20/2026,15:22:00,LAHORE,31.501561,74.376021,Potato,Yes,20000,Paid
INS-1000151,MAG-115,1/20/2026,15:50:00,LAHORE,31.501561,74.376021,Tomato,No,0,N/A
INS-1000152,MAG-115,1/20/2026,16:26:00,LAHORE,31.501561,74.376021,Onion,No,0,N/A
INS-1000153,MAG-115,1/20/2026,17:01:00,LAHORE,31.501561,74.376021,Banana,Yes,20000,Paid
INS-1000154,MAG-116,1/20/2026,8:18:00,LAHORE,31.563432,74.334386,Potato,No,0,N/A
INS-1000155,MAG-116,1/20/2026,8:54:00,LAHORE,31.510813,74.351323,Onion,No,0,N/A
INS-1000156,MAG-116,1/20/2026,9:18:00,LAHORE,31.532488,74.332351,Banana,No,0,N/A
INS-1000157,MAG-116,1/20/2026,9:49:00,LAHORE,31.511274,74.361722,Tomato,Yes,5000,Paid
INS-1000158,MAG-116,1/20/2026,10:32:00,LAHORE,31.476403,74.322261,Onion,No,0,N/A
INS-1000159,MAG-116,1/20/2026,11:03:00,LAHORE,31.524379,74.386846,Banana,No,0,N/A
INS-1000160,MAG-116,1/20/2026,11:21:00,LAHORE,31.501784,74.375911,Onion,No,0,N/A
INS-1000161,MAG-116,1/20/2026,11:58:00,LAHORE,31.549915,74.395038,Onion,No,0,N/A
INS-1000162,MAG-116,1/20/2026,12:16:00,LAHORE,31.517528,74.396492,Potato,No,0,N/A
INS-1000163,MAG-116,1/20/2026,12:43:00,LAHORE,31.533815,74.360868,Onion,No,0,N/A
INS-1000164,MAG-116,1/20/2026,13:28:00,LAHORE,31.560075,74.325987,Banana,No,0,N/A
INS-1000165,MAG-117,1/20/2026,9:21:00,LAHORE,31.500275,74.367086,Tomato,No,0,N/A
INS-1000166,MAG-117,1/20/2026,10:02:00,LAHORE,31.517012,74.363752,Onion,No,0,N/A
INS-1000167,MAG-117,1/20/2026,10:43:00,LAHORE,31.48107,74.361301,Banana,No,0,N/A
INS-1000168,MAG-117,1/20/2026,11:09:00,LAHORE,31.550194,74.318842,Banana,Yes,20000,Unpaid
INS-1000169,MAG-117,1/20/2026,11:46:00,LAHORE,31.527769,74.386526,Onion,Yes,5000,Unpaid
INS-1000170,MAG-117,1/20/2026,12:16:00,LAHORE,31.501784,74.33868,Tomato,No,0,N/A
INS-1000171,MAG-117,1/20/2026,12:50:00,LAHORE,31.562462,74.31712,Tomato,No,0,N/A
INS-1000172,MAG-117,1/20/2026,13:29:00,LAHORE,31.516017,74.366101,Potato,No,0,N/A
INS-1000173,MAG-117,1/20/2026,14:10:00,LAHORE,31.520645,74.390523,Banana,Yes,2000,Paid
INS-1000174,MAG-117,1/20/2026,14:45:00,LAHORE,31.543796,74.408032,Tomato,No,0,N/A
INS-1000175,MAG-117,1/20/2026,15:17:00,LAHORE,31.569736,74.387606,Potato,No,0,N/A
INS-1000176,MAG-117,1/20/2026,15:34:00,LAHORE,31.514333,74.336992,Banana,No,0,N/A
INS-1000177,MAG-117,1/20/2026,15:52:00,LAHORE,31.470948,74.357911,Tomato,No,0,N/A
INS-1000178,MAG-117,1/20/2026,16:30:00,LAHORE,31.514868,74.403743,Potato,No,0,N/A
INS-1000179,MAG-117,1/20/2026,17:03:00,LAHORE,31.503495,74.362189,Potato,No,0,N/A
INS-1000180,MAG-118,1/20/2026,10:05:00,LAHORE,31.545969,74.330808,Onion,No,0,N/A
INS-1000181,MAG-118,1/20/2026,10:32:00,LAHORE,31.490435,74.381597,Potato,No,0,N/A
INS-1000182,MAG-118,1/20/2026,11:08:00,LAHORE,31.488714,74.396,Potato,Yes,2000,Paid
INS-1000183,MAG-118,1/20/2026,11:23:00,LAHORE,31.518197,74.360965,Banana,No,0,N/A
INS-1000184,MAG-118,1/20/2026,11:38:00,LAHORE,31.475315,74.312287,Onion,No,0,N/A
INS-1000185,MAG-118,1/20/2026,11:54:00,LAHORE,31.544203,74.380826,Onion,No,0,N/A
INS-1000186,MAG-119,1/20/2026,11:25:00,LAHORE,31.550202,74.355843,Potato,No,0,N/A
INS-1000187,MAG-119,1/20/2026,11:58:00,LAHORE,31.53755,74.33844,Onion,No,0,N/A
INS-1000188,MAG-119,1/20/2026,12:33:00,LAHORE,31.484625,74.328721,Onion,No,0,N/A
INS-1000189,MAG-119,1/20/2026,12:51:00,LAHORE,31.524042,74.376158,Onion,Yes,5000,Unpaid
INS-1000190,MAG-119,1/20/2026,13:09:00,LAHORE,31.509735,74.320112,Onion,No,0,N/A
INS-1000191,MAG-119,1/20/2026,13:24:00,LAHORE,31.490183,74.404005,Onion,No,0,N/A
INS-1000192,MAG-119,1/20/2026,13:53:00,LAHORE,31.535561,74.338796,Onion,No,0,N/A
INS-1000193,MAG-119,1/20/2026,14:13:00,LAHORE,31.542355,74.378576,Potato,No,0,N/A
INS-1000194,MAG-119,1/20/2026,14:42:00,LAHORE,31.503571,74.402385,Banana,Yes,2000,Paid
INS-1000195,MAG-119,1/20/2026,15:02:00,LAHORE,31.48368,74.398469,Tomato,No,0,N/A
INS-1000196,MAG-119,1/20/2026,15:24:00,LAHORE,31.495542,74.348157,Onion,Yes,5000,Unpaid
INS-1000197,MAG-119,1/20/2026,16:04:00,LAHORE,31.472125,74.34098,Tomato,Yes,5000,Unpaid
INS-1000198,MAG-119,1/20/2026,16:19:00,LAHORE,31.560388,74.402064,Onion,Yes,10000,Paid
INS-1000199,MAG-119,1/20/2026,16:36:00,LAHORE,31.520733,74.351249,Potato,No,0,N/A
INS-1000200,MAG-119,1/20/2026,16:58:00,LAHORE,31.555273,74.375043,Potato,No,0,N/A
INS-1000201,MAG-120,1/20/2026,9:28:00,LAHORE,31.538246,74.399197,Tomato,No,0,N/A
INS-1000202,MAG-120,1/20/2026,9:48:00,LAHORE,31.51769,74.377714,Potato,No,0,N/A
INS-1000203,MAG-120,1/20/2026,10:17:00,LAHORE,31.530173,74.398804,Tomato,No,0,N/A
INS-1000204,MAG-120,1/20/2026,10:55:00,LAHORE,31.538337,74.387185,Potato,No,0,N/A
INS-1000205,MAG-120,1/20/2026,11:40:00,LAHORE,31.55254,74.316162,Potato,No,0,N/A
INS-1000206,MAG-120,1/20/2026,12:04:00,LAHORE,31.531563,74.387637,Tomato,No,0,N/A
INS-1000207,MAG-120,1/20/2026,12:48:00,LAHORE,31.512788,74.363648,Banana,No,0,N/A
INS-1000208,MAG-120,1/20/2026,13:08:00,LAHORE,31.493387,74.370867,Onion,No,0,N/A
INS-1000209,MAG-120,1/20/2026,13:39:00,LAHORE,31.531556,74.360495,Tomato,No,0,N/A
INS-1000210,MAG-121,1/20/2026,10:25:00,LAHORE,31.481466,74.388796,Potato,No,0,N/A
INS-1000211,MAG-121,1/20/2026,10:40:00,LAHORE,31.545928,74.335226,Tomato,No,0,N/A
INS-1000212,MAG-121,1/20/2026,11:25:00,LAHORE,31.567132,74.340206,Onion,No,0,N/A
INS-1000213,MAG-121,1/20/2026,11:53:00,LAHORE,31.494674,74.327358,Potato,No,0,N/A
INS-1000214,MAG-121,1/20/2026,12:31:00,LAHORE,31.510694,74.34497,Potato,Yes,2000,Paid
INS-1000215,MAG-121,1/20/2026,12:49:00,LAHORE,31.497826,74.334393,Tomato,No,0,N/A
INS-1000216,MAG-121,1/20/2026,13:18:00,LAHORE,31.483504,74.383958,Tomato,No,0,N/A
INS-1000217,MAG-121,1/20/2026,13:41:00,LAHORE,31.474259,74.360741,Potato,No,0,N/A
INS-1000218,MAG-121,1/20/2026,14:09:00,LAHORE,31.562254,74.33967,Potato,No,0,N/A
INS-1000219,MAG-121,1/20/2026,14:28:00,LAHORE,31.548801,74.353306,Banana,No,0,N/A
INS-1000220,MAG-121,1/20/2026,15:08:00,LAHORE,31.484607,74.330301,Banana,No,0,N/A
INS-1000221,MAG-122,1/20/2026,9:47:00,LAHORE,31.568502,74.351098,Onion,No,0,N/A
INS-1000222,MAG-122,1/20/2026,10:07:00,LAHORE,31.544694,74.403616,Onion,Yes,20000,Paid
INS-1000223,MAG-122,1/20/2026,10:42:00,LAHORE,31.504371,74.318466,Banana,Yes,10000,Paid
INS-1000224,MAG-122,1/20/2026,11:11:00,LAHORE,31.474892,74.34428,Banana,No,0,N/A
INS-1000225,MAG-122,1/20/2026,11:33:00,LAHORE,31.48431,74.377604,Tomato,No,0,N/A
INS-1000226,MAG-122,1/20/2026,12:10:00,LAHORE,31.549713,74.398655,Banana,No,0,N/A
INS-1000227,MAG-122,1/20/2026,12:30:00,LAHORE,31.484086,74.321165,Banana,Yes,2000,Unpaid
INS-1000228,MAG-123,1/20/2026,10:10:00,LAHORE,31.556298,74.331055,Potato,No,0,N/A
INS-1000229,MAG-123,1/20/2026,10:55:00,LAHORE,31.493771,74.329235,Potato,No,0,N/A
INS-1000230,MAG-123,1/20/2026,11:36:00,LAHORE,31.511647,74.33195,Banana,No,0,N/A
INS-1000231,MAG-123,1/20/2026,12:10:00,LAHORE,31.503572,74.403218,Tomato,No,0,N/A
INS-1000232,MAG-123,1/20/2026,12:32:00,LAHORE,31.567629,74.330669,Potato,Yes,2000,Paid
INS-1000233,MAG-123,1/20/2026,13:08:00,LAHORE,31.521996,74.314415,Tomato,No,0,N/A
INS-1000234,MAG-123,1/20/2026,13:43:00,LAHORE,31.557382,74.335343,Potato,Yes,10000,Paid
INS-1000235,MAG-123,1/20/2026,14:09:00,LAHORE,31.537552,74.386086,Tomato,No,0,N/A
INS-1000236,MAG-123,1/20/2026,14:50:00,LAHORE,31.478288,74.33552,Onion,No,0,N/A
INS-1000237,MAG-123,1/20/2026,15:21:00,LAHORE,31.570069,74.344008,Tomato,No,0,N/A
INS-1000238,MAG-123,1/20/2026,15:59:00,LAHORE,31.510238,74.326201,Potato,No,0,N/A
INS-1000239,MAG-124,1/20/2026,10:18:00,LAHORE,31.47821,74.401486,Potato,Yes,5000,Unpaid
INS-1000240,MAG-124,1/20/2026,10:35:00,LAHORE,31.493032,74.380906,Potato,No,0,N/A
INS-1000241,MAG-124,1/20/2026,11:19:00,LAHORE,31.479673,74.351603,Tomato,No,0,N/A
INS-1000242,MAG-124,1/20/2026,11:40:00,LAHORE,31.549758,74.363487,Banana,No,0,N/A
INS-1000243,MAG-124,1/20/2026,12:15:00,LAHORE,31.536752,74.34544,Potato,No,0,N/A
INS-1000244,MAG-124,1/20/2026,12:41:00,LAHORE,31.517747,74.391107,Onion,No,0,N/A
INS-1000245,MAG-124,1/20/2026,13:06:00,LAHORE,31.520213,74.331117,Banana,No,0,N/A
INS-1000246,MAG-124,1/20/2026,13:32:00,LAHORE,31.500694,74.359724,Banana,No,0,N/A
INS-1000247,MAG-124,1/20/2026,13:58:00,LAHORE,31.538131,74.364766,Onion,No,0,N/A
INS-1000248,MAG-124,1/20/2026,14:16:00,LAHORE,31.527297,74.382986,Potato,Yes,10000,Unpaid
INS-1000249,MAG-124,1/20/2026,15:01:00,LAHORE,31.544391,74.321804,Onion,Yes,10000,Paid
INS-1000250,MAG-124,1/20/2026,15:42:00,LAHORE,31.488951,74.338483,Potato,No,0,N/A
INS-1000251,MAG-124,1/20/2026,16:13:00,LAHORE,31.484147,74.342374,Tomato,No,0,N/A
INS-1000252,MAG-124,1/20/2026,16:39:00,LAHORE,31.493384,74.357907,Potato,Yes,10000,Unpaid
